epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
111,1833.91,0.51122,0.42706,0.01792,0.92674,0.92585,0.9477,0.47286,0.56793,0.46914,0.02232,0.00137771,0.00137771,0.00137771
112,1850.54,0.53616,0.43649,0.01662,0.93284,0.92153,0.95375,0.47679,0.55625,0.45075,0.02282,0.00137206,0.00137206,0.00137206
113,1866.92,0.53533,0.43058,0.0198,0.93842,0.94352,0.96529,0.5829,0.43657,0.43217,0.01474,0.0013664,0.0013664,0.0013664
114,1883.27,0.58056,0.44777,0.02139,0.94074,0.91431,0.95532,0.53376,0.50197,0.47719,0.02139,0.00136074,0.00136074,0.00136074
115,1899.68,0.5626,0.43927,0.01969,0.91863,0.90641,0.93236,0.31194,0.72055,0.45173,0.03176,0.00135509,0.00135509,0.00135509
116,1916.14,0.53727,0.4416,0.01942,0.92179,0.92369,0.94122,0.48493,0.5524,0.44397,0.02148,0.00134943,0.00134943,0.00134943
117,1932.55,0.50332,0.4307,0.01728,0.92764,0.93221,0.95269,0.52656,0.51007,0.43689,0.01883,0.00134377,0.00134377,0.00134377
118,1949.04,0.51559,0.42759,0.0209,0.93226,0.93161,0.95586,0.55989,0.4752,0.43228,0.01756,0.00133811,0.00133811,0.00133811
119,1965.51,0.47146,0.4277,0.01494,0.93206,0.92839,0.95205,0.53008,0.49653,0.44077,0.01852,0.00133246,0.00133246,0.00133246
120,1982.05,0.49854,0.42138,0.01953,0.93435,0.93233,0.95205,0.45902,0.56923,0.45531,0.02364,0.0013268,0.0013268,0.0013268
121,1998.53,0.47805,0.42253,0.01488,0.93114,0.92441,0.94822,0.47622,0.56086,0.45983,0.02314,0.00132114,0.00132114,0.00132114
122,2014.92,0.45836,0.42118,0.01578,0.94217,0.92664,0.95916,0.52457,0.51113,0.44687,0.02101,0.00131549,0.00131549,0.00131549
123,2031.33,0.46739,0.41927,0.016,0.93203,0.93449,0.95818,0.51253,0.52125,0.45534,0.02085,0.00130983,0.00130983,0.00130983
124,2047.82,0.45064,0.41437,0.01619,0.93336,0.9479,0.96302,0.58504,0.44625,0.43099,0.01578,0.00130417,0.00130417,0.00130417
125,2064.27,0.48354,0.42746,0.01639,0.94218,0.93665,0.96149,0.58289,0.44298,0.42496,0.01528,0.00129851,0.00129851,0.00129851
126,2080.66,0.47928,0.43187,0.01587,0.9396,0.94082,0.96199,0.54741,0.47669,0.4362,0.01726,0.00129286,0.00129286,0.00129286
127,2097.07,0.47927,0.42,0.01756,0.93079,0.92958,0.95033,0.45545,0.57936,0.45354,0.02484,0.0012872,0.0012872,0.0012872
128,2113.56,0.47898,0.42487,0.01601,0.92493,0.93133,0.94648,0.41726,0.61981,0.48049,0.02541,0.00128154,0.00128154,0.00128154
129,2130.06,0.45435,0.41776,0.02063,0.93695,0.93081,0.95683,0.52341,0.51335,0.44424,0.02041,0.00127589,0.00127589,0.00127589
130,2146.57,0.44917,0.41531,0.01677,0.93316,0.93017,0.95408,0.47072,0.56504,0.45929,0.02361,0.00127023,0.00127023,0.00127023
