epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,4934.45,1.55708,0.69442,0.76119,0.91699,0.88672,0.93409,0.4959,1.30054,0.57774,0.6291,0.0008912,0.0008912,0.0008912
114,4979.02,1.49873,0.70295,0.75496,0.9224,0.89771,0.9378,0.44656,1.47008,0.5875,0.63633,0.0008813,0.0008813,0.0008813
115,5023.49,1.52496,0.73696,0.76801,0.52178,0.35286,0.3664,0.09526,2.62946,1.33372,0.68908,0.0008714,0.0008714,0.0008714
116,5066.71,1.57511,0.76079,0.77409,0.91925,0.91797,0.93929,0.47672,1.33635,0.622,0.62704,0.0008615,0.0008615,0.0008615
117,5109.92,1.57189,0.68228,0.77709,0.86104,0.83138,0.86351,0.33998,1.62795,0.7251,0.63376,0.0008516,0.0008516,0.0008516
118,5152.65,1.53414,0.68853,0.76926,0.90937,0.89498,0.92493,0.45461,1.37403,0.59443,0.62888,0.0008417,0.0008417,0.0008417
119,5196.59,1.53787,0.7892,0.75499,0.91912,0.91,0.93263,0.43971,1.43917,0.60637,0.63972,0.0008318,0.0008318,0.0008318
120,5240.95,1.57994,0.80437,0.76509,0.90826,0.85729,0.90291,0.45023,1.36051,0.6252,0.62517,0.0008219,0.0008219,0.0008219
121,5285.07,1.5581,0.72328,0.75015,0.91359,0.89486,0.92398,0.47742,1.31246,0.58687,0.62266,0.000812,0.000812,0.000812
122,5328.05,1.5352,0.68365,0.76608,0.92194,0.89909,0.9312,0.42477,1.55439,0.65421,0.64329,0.0008021,0.0008021,0.0008021
123,5371.32,1.57632,0.74198,0.77755,0.9163,0.89844,0.92611,0.48292,1.30224,0.57435,0.62609,0.0007922,0.0007922,0.0007922
124,5414.51,1.51741,0.72312,0.74564,0.86486,0.72656,0.80599,0.3259,1.71868,0.89872,0.63875,0.0007823,0.0007823,0.0007823
125,5457.87,1.53067,0.75553,0.76384,0.91203,0.88421,0.92025,0.46604,1.33328,0.60178,0.6221,0.0007724,0.0007724,0.0007724
126,5501.34,1.56505,0.76104,0.76368,0.91205,0.88445,0.9208,0.45212,1.40385,0.6051,0.63197,0.0007625,0.0007625,0.0007625
127,5544.32,1.63938,0.76951,0.78315,0.91986,0.91341,0.93491,0.49453,1.26356,0.59852,0.62413,0.0007526,0.0007526,0.0007526
128,5587.19,1.53907,0.71047,0.76768,0.91505,0.89059,0.93241,0.49695,1.25026,0.54947,0.61955,0.0007427,0.0007427,0.0007427
129,5630.02,1.52941,0.74091,0.73717,0.9167,0.90279,0.93472,0.47971,1.30584,0.55347,0.6272,0.0007328,0.0007328,0.0007328
130,5672.73,1.60428,0.73661,0.75704,0.85391,0.78769,0.81732,0.3129,1.63345,2.39518,0.6413,0.0007229,0.0007229,0.0007229
131,5715.63,1.52356,0.69723,0.76164,0.90937,0.89388,0.93048,0.48792,1.26797,0.57216,0.61901,0.000713,0.000713,0.000713
132,5757.9,1.57629,0.68929,0.76618,0.83433,0.80078,0.79502,0.2607,1.82204,0.74197,0.63986,0.0007031,0.0007031,0.0007031
